item_id,source,text,aspect,polarity,intents,segment_hints,evidence_span
sim_051,simulated,"Performance is fine most days, but backend_engineer noticed it slows down noticeably around the 20th concurrent dashboard viewer.",,,,,
sim_054,simulated,"Core monitoring is complete, but sre_devops counted 6 smaller features (custom SLOs, saved filters) that are still on the roadmap.",,,,,
sim_028,simulated,on_call_lead says the API docs are the best-written of any observability vendor we've evaluated — found what we needed in 14 minutes.,,,,,
sim_061,simulated,sre_devops says the API docs are the best-written of any observability vendor we've evaluated — found what we needed in 22 minutes.,,,,,
sim_065,simulated,"We're still missing 16 features we relied on with our previous vendor, and backend_engineer has had to keep a second tool running just for those.",,,,,
sim_004,simulated,"backend_engineer wired up Slack, PagerDuty and our CI in under 44 minutes — the integration list covers everything we use.",,,,,
sim_043,simulated,"founder says PulseStack covers everything our old 5-tool stack did, in one place.",,,,,
sim_071,simulated,Opened a ticket 3 days ago and backend_engineer still hasn't heard back from PulseStack support.,,,,,
sim_002,simulated,Our bill jumped by $15 last month with no warning — backend_engineer is now shopping around for something with predictable pricing.,,,,,
sim_006,simulated,"The getting-started docs are great, but sre_devops couldn't find anything on the 2 advanced config options in the dashboard.",,,,,
sim_007,simulated,Query latency on our 31-node cluster's dashboard is consistently under a second — on_call_lead never has to wait.,,,,,
sim_034,simulated,Got the whole team set up on PulseStack in under an hour — sre_devops said the 43-step onboarding flow was the smoothest of any monitoring tool we've tried.,,,,,
sim_080,simulated,"PulseStack's own dashboard went down for 31 minutes last week, right when on_call_lead needed it most during an incident.",,,,,
sim_052,simulated,"sre_devops says alert volume dropped by 25% after switching, with zero false positives so far this month.",,,,,
sim_050,simulated,"The docs page for the alerting API hasn't been updated in 27 months and still references a deprecated endpoint, which cost on_call_lead an afternoon.",,,,,
sim_027,simulated,Support resolved backend_engineer's issue but it took 22 back-and-forth emails to get there.,,,,,
sim_023,simulated,sre_devops gave up halfway through PulseStack's onboarding wizard after it asked for 19 separate API keys with no explanation of what each one does.,,,,,
sim_072,simulated,"The getting-started docs are great, but on_call_lead couldn't find anything on the 5 advanced config options in the dashboard.",,,,,
sim_026,simulated,"on_call_lead needed a integration with our internal ticketing system and PulseStack has 11 pre-built connectors, none of which fit.",,,,,
sim_019,simulated,"sre_devops says alert volume dropped by 23% after switching, with zero false positives so far this month.",,,,,
sim_035,simulated,Our bill jumped by $27 last month with no warning — backend_engineer is now shopping around for something with predictable pricing.,,,,,
sim_021,simulated,"Core monitoring is complete, but founder counted 17 smaller features (custom SLOs, saved filters) that are still on the roadmap.",,,,,
sim_042,simulated,"The dashboard is intuitive for the basics, but backend_engineer needed 25 tries to find where custom views are saved.",,,,,
sim_045,simulated,"PulseStack's onboarding got us to a working dashboard fast, but on_call_lead still had to read the docs for 30 minutes to figure out the alerting setup.",,,,,
sim_047,simulated,"PulseStack's own dashboard went down for 22 minutes last week, right when founder needed it most during an incident.",,,,,
sim_029,simulated,"backend_engineer says the dashboard takes 32 seconds to load once we crossed our current node count, which is unacceptable during an incident.",,,,,
sim_036,simulated,"Reliability has been solid for 21 weeks straight, though backend_engineer noticed one brief blip during a deploy that wasn't explained.",,,,,
sim_033,simulated,"Most of the migration was painless, but backend_engineer had to hand-rewrite 18 legacy alert rules that the importer choked on.",,,,,
sim_069,simulated,"Reliability has been solid for 9 weeks straight, though founder noticed one brief blip during a deploy that wasn't explained.",,,,,
sim_008,simulated,founder is drowning in 3 duplicate alerts a night from the same underlying issue and is close to muting the channel entirely.,,,,,
sim_009,simulated,"The dashboard is intuitive for the basics, but backend_engineer needed 33 tries to find where custom views are saved.",,,,,
sim_046,simulated,founder says PulseStack's flat $4/month team plan is a no-brainer compared to what we were paying per-seat elsewhere.,,,,,
sim_070,simulated,"founder wired up Slack, PagerDuty and our CI in under 5 minutes — the integration list covers everything we use.",,,,,
sim_062,simulated,"founder says the dashboard takes 27 seconds to load once we crossed our current node count, which is unacceptable during an incident.",,,,,
sim_063,simulated,"The low-noise alerting is a real improvement, but founder still gets 32 redundant pages for planned maintenance windows.",,,,,
sim_056,simulated,founder gave up halfway through PulseStack's onboarding wizard after it asked for 43 separate API keys with no explanation of what each one does.,,,,,
sim_059,simulated,"sre_devops needed a integration with our internal ticketing system and PulseStack has 30 pre-built connectors, none of which fit.",,,,,
sim_001,simulated,Got the whole team set up on PulseStack in under an hour — on_call_lead said the 39-step onboarding flow was the smoothest of any monitoring tool we've tried.,,,,,
sim_015,simulated,"Most integrations just worked, but sre_devops had to write a small script to bridge the 21th tool we use that isn't supported.",,,,,
sim_079,simulated,sre_devops says PulseStack's flat $18/month team plan is a no-brainer compared to what we were paying per-seat elsewhere.,,,,,
sim_076,simulated,"backend_engineer says PulseStack covers everything our old 34-tool stack did, in one place.",,,,,
sim_012,simulated,"PulseStack's onboarding got us to a working dashboard fast, but founder still had to read the docs for 45 minutes to figure out the alerting setup.",,,,,
sim_003,simulated,"Reliability has been solid for 14 weeks straight, though backend_engineer noticed one brief blip during a deploy that wasn't explained.",,,,,
sim_010,simulated,"on_call_lead says PulseStack covers everything our old 45-tool stack did, in one place.",,,,,
sim_055,simulated,founder migrated 18 services over a weekend with the provided import tool — barely any manual work.,,,,,
sim_022,simulated,backend_engineer migrated 33 services over a weekend with the provided import tool — barely any manual work.,,,,,
sim_038,simulated,Opened a ticket 25 days ago and on_call_lead still hasn't heard back from PulseStack support.,,,,,
sim_031,simulated,backend_engineer taught a new hire the whole dashboard in 36 minutes — nothing needed explaining twice.,,,,,
sim_074,simulated,sre_devops is drowning in 8 duplicate alerts a night from the same underlying issue and is close to muting the channel entirely.,,,,,
sim_040,simulated,Query latency on our 38-node cluster's dashboard is consistently under a second — backend_engineer never has to wait.,,,,,
sim_075,simulated,"The dashboard is intuitive for the basics, but backend_engineer needed 9 tries to find where custom views are saved.",,,,,
sim_014,simulated,"PulseStack's own dashboard went down for 45 minutes last week, right when backend_engineer needed it most during an incident.",,,,,
sim_064,simulated,on_call_lead taught a new hire the whole dashboard in 6 minutes — nothing needed explaining twice.,,,,,
sim_005,simulated,Opened a ticket 11 days ago and founder still hasn't heard back from PulseStack support.,,,,,
sim_067,simulated,Got the whole team set up on PulseStack in under an hour — backend_engineer said the 30-step onboarding flow was the smoothest of any monitoring tool we've tried.,,,,,
sim_066,simulated,"Most of the migration was painless, but backend_engineer had to hand-rewrite 35 legacy alert rules that the importer choked on.",,,,,
sim_016,simulated,founder got a real answer from support in under 36 minutes on a Sunday — that responsiveness alone would keep us as customers.,,,,,
sim_058,simulated,20 days of uptime and zero missed incidents — on_call_lead trusts PulseStack more than the tool we migrated from.,,,,,
sim_060,simulated,Support resolved on_call_lead's issue but it took 45 back-and-forth emails to get there.,,,,,
sim_039,simulated,"The getting-started docs are great, but sre_devops couldn't find anything on the 18 advanced config options in the dashboard.",,,,,
sim_041,simulated,on_call_lead is drowning in 23 duplicate alerts a night from the same underlying issue and is close to muting the channel entirely.,,,,,
sim_048,simulated,"Most integrations just worked, but on_call_lead had to write a small script to bridge the 26th tool we use that isn't supported.",,,,,
sim_073,simulated,Query latency on our 23-node cluster's dashboard is consistently under a second — backend_engineer never has to wait.,,,,,
sim_013,simulated,sre_devops says PulseStack's flat $41/month team plan is a no-brainer compared to what we were paying per-seat elsewhere.,,,,,
sim_032,simulated,"We're still missing 7 features we relied on with our previous vendor, and backend_engineer has had to keep a second tool running just for those.",,,,,
sim_018,simulated,"Performance is fine most days, but founder noticed it slows down noticeably around the 15th concurrent dashboard viewer.",,,,,
sim_030,simulated,"The low-noise alerting is a real improvement, but sre_devops still gets 34 redundant pages for planned maintenance windows.",,,,,
sim_037,simulated,"on_call_lead wired up Slack, PagerDuty and our CI in under 6 minutes — the integration list covers everything we use.",,,,,
sim_077,simulated,founder is 40 weeks into migrating off our old vendor and PulseStack's import tool still can't handle our alert-rule format.,,,,,
sim_057,simulated,"The base plan is fair, but on_call_lead was surprised the extra $27/month add-on for longer retention wasn't mentioned upfront.",,,,,
sim_017,simulated,"The docs page for the alerting API hasn't been updated in 44 months and still references a deprecated endpoint, which cost sre_devops an afternoon.",,,,,
sim_024,simulated,"The base plan is fair, but sre_devops was surprised the extra $14/month add-on for longer retention wasn't mentioned upfront.",,,,,
sim_078,simulated,"PulseStack's onboarding got us to a working dashboard fast, but on_call_lead still had to read the docs for 35 minutes to figure out the alerting setup.",,,,,
sim_068,simulated,Our bill jumped by $13 last month with no warning — backend_engineer is now shopping around for something with predictable pricing.,,,,,
sim_025,simulated,38 days of uptime and zero missed incidents — founder trusts PulseStack more than the tool we migrated from.,,,,,
sim_011,simulated,sre_devops is 33 weeks into migrating off our old vendor and PulseStack's import tool still can't handle our alert-rule format.,,,,,
sim_044,simulated,on_call_lead is 22 weeks into migrating off our old vendor and PulseStack's import tool still can't handle our alert-rule format.,,,,,
sim_020,simulated,"It took founder 21 clicks just to filter the dashboard by service, which feels like it should be one step.",,,,,
sim_053,simulated,"It took sre_devops 11 clicks just to filter the dashboard by service, which feels like it should be one step.",,,,,
sim_049,simulated,on_call_lead got a real answer from support in under 38 minutes on a Sunday — that responsiveness alone would keep us as customers.,,,,,
real_appstore_sig_appstore_1391380318_14552720228,real:app_store,Datadog App Store review (1★): 'Blocks vpn connections'.,,,,,
real_appstore_sig_appstore_1391380318_14420622538,real:app_store,Datadog App Store review (1★): 'Terrible native app'.,,,,,
